run_dir,method,ref_domain,target_domain,input_mode,val_acc,val_f1,test_acc,test_f1
runs_fixed_sub01/ivae_sub-01_to_sub-02_paper,iVAE_stable_reimplemented,sub-01,sub-02,latent,0.38,0.36917261183649663,0.24666666666666667,0.2435282459476008
runs_fixed_sub01/ivae_sub-01_to_sub-02_paper,iVAE_stable_reimplemented,sub-01,sub-02,raw_pca,0.3,0.300479302832244,0.23666666666666666,0.2369743511759935
runs_fixed_sub01/ivae_sub-01_to_sub-02_paper,iVAE_stable_reimplemented,sub-01,sub-02,raw_plus_latent,0.3,0.3015538508547627,0.26666666666666666,0.2651024201472742
runs_fixed_sub01/ivae_sub-01_to_sub-03_paper,iVAE_stable_reimplemented,sub-01,sub-03,latent,0.31,0.3110427724189335,0.3,0.2993151006082041
runs_fixed_sub01/ivae_sub-01_to_sub-03_paper,iVAE_stable_reimplemented,sub-01,sub-03,raw_pca,0.29,0.29435897435897435,0.26,0.25965439902608045
runs_fixed_sub01/ivae_sub-01_to_sub-03_paper,iVAE_stable_reimplemented,sub-01,sub-03,raw_plus_latent,0.4,0.39624001774622897,0.284,0.277158394066769
runs_fixed_sub01/ivae_sub-01_to_sub-04_paper,iVAE_stable_reimplemented,sub-01,sub-04,latent,0.3,0.2980693459416863,0.26,0.25961173850693586
runs_fixed_sub01/ivae_sub-01_to_sub-04_paper,iVAE_stable_reimplemented,sub-01,sub-04,raw_pca,0.32,0.31979837389501253,0.25666666666666665,0.2536164965361925
runs_fixed_sub01/ivae_sub-01_to_sub-04_paper,iVAE_stable_reimplemented,sub-01,sub-04,raw_plus_latent,0.39,0.3921018919984234,0.2633333333333333,0.2591236133609015
runs_fixed_sub01/ivae_sub-01_to_sub-05_paper,iVAE_stable_reimplemented,sub-01,sub-05,latent,0.24,0.2461904761904762,0.26666666666666666,0.2641895937050829
runs_fixed_sub01/ivae_sub-01_to_sub-05_paper,iVAE_stable_reimplemented,sub-01,sub-05,raw_pca,0.33,0.3304946986682601,0.30666666666666664,0.30561798269678264
runs_fixed_sub01/ivae_sub-01_to_sub-05_paper,iVAE_stable_reimplemented,sub-01,sub-05,raw_plus_latent,0.35,0.3494578173149602,0.2833333333333333,0.28213177249619426
runs_fixed_sub01/ivae_sub-01_to_sub-06_paper,iVAE_stable_reimplemented,sub-01,sub-06,latent,0.33,0.33389114938362546,0.2740740740740741,0.2635180951862586
runs_fixed_sub01/ivae_sub-01_to_sub-06_paper,iVAE_stable_reimplemented,sub-01,sub-06,raw_pca,0.35,0.35264214046822745,0.2851851851851852,0.28410803864877554
runs_fixed_sub01/ivae_sub-01_to_sub-06_paper,iVAE_stable_reimplemented,sub-01,sub-06,raw_plus_latent,0.3,0.30147157190635454,0.26666666666666666,0.25897504736001303
runs_fixed_sub01/ivae_sub-01_to_sub-07_paper,iVAE_stable_reimplemented,sub-01,sub-07,latent,0.29,0.2912655279503106,0.25,0.24368144387996818
runs_fixed_sub01/ivae_sub-01_to_sub-07_paper,iVAE_stable_reimplemented,sub-01,sub-07,raw_pca,0.31,0.3104696424024155,0.2733333333333333,0.2717996427863547
runs_fixed_sub01/ivae_sub-01_to_sub-07_paper,iVAE_stable_reimplemented,sub-01,sub-07,raw_plus_latent,0.31,0.31359738622553557,0.25,0.24866544931556397
runs_fixed_sub01/ivae_sub-01_to_sub-08_paper,iVAE_stable_reimplemented,sub-01,sub-08,latent,0.32,0.3192508984725966,0.276,0.25834811384079254
runs_fixed_sub01/ivae_sub-01_to_sub-08_paper,iVAE_stable_reimplemented,sub-01,sub-08,raw_pca,0.32,0.31609848484848485,0.292,0.29095334490071334
